Muscles,WorkOut,Intensity_Level,Beginner Sets,Intermediate Sets,Expert Sets,Equipment,Explaination,Long Explanation,Video,combined
Abs,Plank Jacks,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Body weight,"Start in a plank position, jump your feet in and out like a jumping jack.","The Plank Jacks is a weight training exercise targeting the Abs. It involves using nan, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Plank+Jacks,"Plank Jacks Expert Start in a plank position, jump your feet in and out like a jumping jack. Abs Body weight 3 Sets with 12 to 15 reps"
Abs,Side Plank,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Body weight,"Lie on your side, lift your body so that you are supported by your forearm and feet, hold the position to work the obliques.","The Side Plank is a weight training exercise targeting the Abs. It involves using nan, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Side+Plank,"Side Plank Expert Lie on your side, lift your body so that you are supported by your forearm and feet, hold the position to work the obliques. Abs Body weight 3 Sets with 12 to 15 reps"
Back,Deadlift,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Barbell,"Deadlift: Lift a barbell or weights from the ground to hip level, keeping your back straight and driving with your legs.","The Deadlift is a weight training exercise targeting the Back. It involves using Barbell, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Deadlift,"Deadlift Intermediate Deadlift: Lift a barbell or weights from the ground to hip level, keeping your back straight and driving with your legs. Back Barbell 3 Sets with 12 to 15 reps"
Back,Pull-Ups,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Pull-up bar,Pull-Ups: Grip a bar with palms facing away and pull your body up until your chin is over the bar.,"The Pull-Ups is a weight training exercise targeting the Back. It involves using Pull-up bar, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Pull-Ups,Pull-Ups Expert Pull-Ups: Grip a bar with palms facing away and pull your body up until your chin is over the bar. Back Pull-up bar 3 Sets with 12 to 15 reps
Back,Bent-Over Barbell Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Barbell,"Bent-Over Barbell Row: Bend at the waist, hold a barbell with both hands and pull it towards your lower chest or abdomen.","The Bent-Over Barbell Row is a weight training exercise targeting the Back. It involves using Barbell, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Bent-Over+Barbell+Row,"Bent-Over Barbell Row Intermediate Bent-Over Barbell Row: Bend at the waist, hold a barbell with both hands and pull it towards your lower chest or abdomen. Back Barbell 3 Sets with 12 to 15 reps"
Back,Lat Pulldown,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Cable machine with lat pulldown bar,"Lat Pulldown: Sit at a lat pulldown machine, pull the bar down towards your chest while keeping your back straight.","The Lat Pulldown is a weight training exercise targeting the Back. It involves using Cable machine with lat pulldown bar, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Lat+Pulldown,"Lat Pulldown Expert Lat Pulldown: Sit at a lat pulldown machine, pull the bar down towards your chest while keeping your back straight. Back Cable machine with lat pulldown bar 3 Sets with 12 to 15 reps"
Back,Seated Cable Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Cable machine,"Seated Cable Row: Sit at a cable row station, pull the handle towards your waist while keeping your back straight.","The Seated Cable Row is a weight training exercise targeting the Back. It involves using Cable machine, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Seated+Cable+Row,"Seated Cable Row Intermediate Seated Cable Row: Sit at a cable row station, pull the handle towards your waist while keeping your back straight. Back Cable machine 3 Sets with 12 to 15 reps"
Back,Single-Arm Dumbbell Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbell,"Single-Arm Dumbbell Row: Bend over at the waist, use one hand to row a dumbbell, keeping your back parallel to the floor.","The Single-Arm Dumbbell Row is a weight training exercise targeting the Back. It involves using Dumbbell, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Single-Arm+Dumbbell+Row,"Single-Arm Dumbbell Row Intermediate Single-Arm Dumbbell Row: Bend over at the waist, use one hand to row a dumbbell, keeping your back parallel to the floor. Back Dumbbell 3 Sets with 12 to 15 reps"
Back,T-Bar Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Barbell and T-bar row machine or landmine attachment,"T-Bar Row: Straddle a barbell, lift it using a T-bar attachment or handle, keeping your back straight.","The T-Bar Row is a weight training exercise targeting the Back. It involves using Barbell and T-bar row machine or landmine attachment, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=T-Bar+Row,"T-Bar Row Intermediate T-Bar Row: Straddle a barbell, lift it using a T-bar attachment or handle, keeping your back straight. Back Barbell and T-bar row machine or landmine attachment 3 Sets with 12 to 15 reps"
Back,Inverted Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Bar or Smith machine,"Inverted Row: Lie under a bar, pull your chest up to the bar with feet planted on the ground.","The Inverted Row is a weight training exercise targeting the Back. It involves using Bar or Smith machine, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Inverted+Row,"Inverted Row Intermediate Inverted Row: Lie under a bar, pull your chest up to the bar with feet planted on the ground. Back Bar or Smith machine 3 Sets with 12 to 15 reps"
Back,Back Extension,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Back extension bench,"Back Extension: Use a back extension bench to lift your upper body up and down, focusing on lower back muscles.","The Back Extension is a weight training exercise targeting the Back. It involves using Back extension bench, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Back+Extension,"Back Extension Expert Back Extension: Use a back extension bench to lift your upper body up and down, focusing on lower back muscles. Back Back extension bench 3 Sets with 12 to 15 reps"
Back,Machine Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Rowing machine,"Machine Row: Sit at a row machine, pull the handles towards your torso, focusing on your middle back.","The Machine Row is a weight training exercise targeting the Back. It involves using Rowing machine, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Machine+Row,"Machine Row Intermediate Machine Row: Sit at a row machine, pull the handles towards your torso, focusing on your middle back. Back Rowing machine 3 Sets with 12 to 15 reps"
Back,Chin-Up,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Pull-up bar,"Chin-Up: Grip a bar with palms facing towards you and pull up until your chin is over the bar, focusing on your upper back.","The Chin-Up is a weight training exercise targeting the Back. It involves using Pull-up bar, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Chin-Up,"Chin-Up Expert Chin-Up: Grip a bar with palms facing towards you and pull up until your chin is over the bar, focusing on your upper back. Back Pull-up bar 3 Sets with 12 to 15 reps"
Back,Renegade Row,Intermediate,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbells,"Renegade Row: In a plank position with dumbbells, row one dumbbell up while stabilizing your body with the other arm.","The Renegade Row is a weight training exercise targeting the Back. It involves using Dumbbells, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Renegade+Row,"Renegade Row Intermediate Renegade Row: In a plank position with dumbbells, row one dumbbell up while stabilizing your body with the other arm. Back Dumbbells 3 Sets with 12 to 15 reps"
Back,Resistance Band Pull Apart,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Resistance band,"Resistance Band Pull Apart: Hold a resistance band in front of you and pull it apart horizontally, focusing on your rear shoulders and upper back.","The Resistance Band Pull Apart is a weight training exercise targeting the Back. It involves using Resistance band, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Resistance+Band+Pull+Apart,"Resistance Band Pull Apart Expert Resistance Band Pull Apart: Hold a resistance band in front of you and pull it apart horizontally, focusing on your rear shoulders and upper back. Back Resistance band 3 Sets with 12 to 15 reps"
Back,Hyperextension,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Hyperextension bench,"Hyperextension: On a hyperextension bench, lift and lower your upper body, targeting your lower back.","The Hyperextension is a weight training exercise targeting the Back. It involves using Hyperextension bench, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Hyperextension,"Hyperextension Expert Hyperextension: On a hyperextension bench, lift and lower your upper body, targeting your lower back. Back Hyperextension bench 3 Sets with 12 to 15 reps"
Back,Face Pull,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Cable machine with rope or handle attachment,"Face Pull: Use a cable machine with a rope attachment, pull towards your face while keeping your elbows high.","The Face Pull is a weight training exercise targeting the Back. It involves using Cable machine with rope or handle attachment, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Face+Pull,"Face Pull Expert Face Pull: Use a cable machine with a rope attachment, pull towards your face while keeping your elbows high. Back Cable machine with rope or handle attachment 3 Sets with 12 to 15 reps"
Biceps,Barbell Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Barbell,"Barbell Curl: Stand with feet shoulder-width apart, hold a barbell with an underhand grip and curl it towards your shoulders.","This classic bicep-building exercise involves standing with feet shoulder-width apart, gripping a barbell with an underhand grip. With elbows close to the torso, curl the barbell towards the shoulders while keeping the upper arms stationary. This motion targets the bicep muscles, including both the long and short head, providing development in muscle mass and arm strength. The focus is on smooth, controlled movements, exhaling as you lift the barbell and inhaling on the return. For beginners, it's crucial to start with a lighter weight to perfect the form before progressing.",https://www.youtube.com/results?search_query=Barbell+Curl,"Barbell Curl Beginner Barbell Curl: Stand with feet shoulder-width apart, hold a barbell with an underhand grip and curl it towards your shoulders. Biceps Barbell 3 Sets with 12 to 15 reps"
Biceps,Dumbbell Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbells,Dumbbell Curl: Curl dumbbells alternately or simultaneously while keeping your elbows close to your torso.,"The Dumbbell Curl is a weight training exercise targeting the Biceps. It involves using Dumbbells, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Dumbbell+Curl,Dumbbell Curl Beginner Dumbbell Curl: Curl dumbbells alternately or simultaneously while keeping your elbows close to your torso. Biceps Dumbbells 3 Sets with 12 to 15 reps
Biceps,Hammer Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbells,"Hammer Curl: Perform dumbbell curls with palms facing each other, targeting the brachialis muscle.","The Hammer Curl is a weight training exercise targeting the Biceps. It involves using Dumbbells, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Hammer+Curl,"Hammer Curl Beginner Hammer Curl: Perform dumbbell curls with palms facing each other, targeting the brachialis muscle. Biceps Dumbbells 3 Sets with 12 to 15 reps"
Biceps,Preacher Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Preacher bench and barbell or dumbbell,"Preacher Curl: Use a preacher bench to isolate biceps, keeping the upper arms stationary.","The Preacher Curl is a weight training exercise targeting the Biceps. It involves using Preacher bench and barbell or dumbbell, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Preacher+Curl,"Preacher Curl Beginner Preacher Curl: Use a preacher bench to isolate biceps, keeping the upper arms stationary. Biceps Preacher bench and barbell or dumbbell 3 Sets with 12 to 15 reps"
Biceps,Concentration Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbell,"Concentration Curl: Sit with a dumbbell in one hand, elbow on the thigh, and curl the weight focusing on the bicep.","The Concentration Curl is a weight training exercise targeting the Biceps. It involves using Dumbbell, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Concentration+Curl,"Concentration Curl Beginner Concentration Curl: Sit with a dumbbell in one hand, elbow on the thigh, and curl the weight focusing on the bicep. Biceps Dumbbell 3 Sets with 12 to 15 reps"
Biceps,Cable Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Cable machine with bar attachment,"Cable Curl: Use a cable machine with a bar attachment, curling the bar towards your chest.","The Cable Curl is a weight training exercise targeting the Biceps. It involves using Cable machine with bar attachment, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Cable+Curl,"Cable Curl Beginner Cable Curl: Use a cable machine with a bar attachment, curling the bar towards your chest. Biceps Cable machine with bar attachment 3 Sets with 12 to 15 reps"
Biceps,EZ-Bar Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,EZ-bar,"EZ-Bar Curl: Curl an EZ-bar with both hands, which can be easier on your wrists.","The EZ-Bar Curl is a weight training exercise targeting the Biceps. It involves using EZ-bar, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=EZ-Bar+Curl,"EZ-Bar Curl Beginner EZ-Bar Curl: Curl an EZ-bar with both hands, which can be easier on your wrists. Biceps EZ-bar 3 Sets with 12 to 15 reps"
Biceps,Incline Dumbbell Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbells and an incline bench,"Incline Dumbbell Curl: Lie back on an incline bench, curl dumbbells with arms hanging down.","The Incline Dumbbell Curl is a weight training exercise targeting the Biceps. It involves using Dumbbells and an incline bench, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Incline+Dumbbell+Curl,"Incline Dumbbell Curl Beginner Incline Dumbbell Curl: Lie back on an incline bench, curl dumbbells with arms hanging down. Biceps Dumbbells and an incline bench 3 Sets with 12 to 15 reps"
Biceps,Reverse Barbell Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Barbell,"Reverse Barbell Curl: Grip the barbell overhand and curl, targeting the forearms and biceps.","The Reverse Barbell Curl is a weight training exercise targeting the Biceps. It involves using Barbell, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Reverse+Barbell+Curl,"Reverse Barbell Curl Beginner Reverse Barbell Curl: Grip the barbell overhand and curl, targeting the forearms and biceps. Biceps Barbell 3 Sets with 12 to 15 reps"
Biceps,Seated Alternating Dumbbell Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbells and a bench,"Seated Alternating Dumbbell Curl: Alternate curling dumbbells while seated, focusing on each bicep.","The Seated Alternating Dumbbell Curl is a weight training exercise targeting the Biceps. It involves using Dumbbells and a bench, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Seated+Alternating+Dumbbell+Curl,"Seated Alternating Dumbbell Curl Beginner Seated Alternating Dumbbell Curl: Alternate curling dumbbells while seated, focusing on each bicep. Biceps Dumbbells and a bench 3 Sets with 12 to 15 reps"
Biceps,Zottman Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Dumbbells,Zottman Curl: Curl dumbbells up normally and rotate your wrists at the top to descend with an overhand grip.,"The Zottman Curl is a weight training exercise targeting the Biceps. It involves using Dumbbells, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Zottman+Curl,Zottman Curl Beginner Zottman Curl: Curl dumbbells up normally and rotate your wrists at the top to descend with an overhand grip. Biceps Dumbbells 3 Sets with 12 to 15 reps
Biceps,Resistance Band Bicep Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Resistance band,Resistance Band Bicep Curl: Stand on a resistance band and curl your hands towards your shoulders.,"The Resistance Band Bicep Curl is a weight training exercise targeting the Biceps. It involves using Resistance band, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Resistance+Band+Bicep+Curl,Resistance Band Bicep Curl Beginner Resistance Band Bicep Curl: Stand on a resistance band and curl your hands towards your shoulders. Biceps Resistance band 3 Sets with 12 to 15 reps
Biceps,Chin-Up,Expert,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Pull-up bar,"Chin-Up: Grip a bar with palms facing you and pull yourself up, focusing on biceps.","The Chin-Up is a weight training exercise targeting the Biceps. It involves using Pull-up bar, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Chin-Up,"Chin-Up Expert Chin-Up: Grip a bar with palms facing you and pull yourself up, focusing on biceps. Biceps Pull-up bar 3 Sets with 12 to 15 reps"
Biceps,Machine Bicep Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Bicep curl machine,"Machine Bicep Curl: Use a bicep curl machine, focusing on isolating the bicep muscle.","The Machine Bicep Curl is a weight training exercise targeting the Biceps. It involves using Bicep curl machine, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Machine+Bicep+Curl,"Machine Bicep Curl Beginner Machine Bicep Curl: Use a bicep curl machine, focusing on isolating the bicep muscle. Biceps Bicep curl machine 3 Sets with 12 to 15 reps"
Biceps,Spider Curl,Beginner,3 Sets with 12 to 15 reps,4 Sets with 8 to 12 reps,5 Sets with 3 to 10 reps,Bench (preferably inclined) and barbell or dumbbells,"Spider Curl: Lie face down on an incline bench and curl barbells, isolating biceps.","The Spider Curl is a weight training exercise targeting the Biceps. It involves using Bench (preferably inclined) and barbell or dumbbells, focusing on the form and technique to effectively engage the muscles. Ideal for strength building and muscle definition, it's important to maintain controlled movements throughout.",https://www.youtube.com/results?search_query=Spider+Curl,"Spider Curl Beginner Spider Curl: Lie face down on an incline bench and curl barbells, isolating biceps. Biceps Bench (preferably inclined) and barbell or dumbbells 3 Sets with 12 to 15 reps"
